gid,role,role_score,cluster_id,priority_score,evidence
100000000011452100,consolidator,0.771812956144917,0,0.45139106688967,"Получает от 3 контрагентов; входящий оборот 110,000 KZT; достижим от 1 seed."
100000000018102100,peripheral,0.49,0,0.07875280394795872,"Входящих: 1, исходящих: 0; выраженные признаки основной структурной роли не достигли порога. Граница depth=4: дальнейшие переводы не наблюдаются."
100000000031787100,transit,0.8333333333333333,10,0.36811709386538,"Вход 90,000 KZT, выход 90,000 KZT; совпадение потока за 1–2 дня: 44%."
100000000041368100,terminal,0.7112420670897552,3,0.49228970880796086,"Получил 160,000 KZT от 1 контрагентов; исходящих в выборке нет 9 дн."
100000000076451100,consolidator,0.8315066259857102,15,0.6418340251466682,"Получает от 3 контрагентов; входящий оборот 87,707 KZT; достижим от 3 seed."
100000000089154100,distributor,0.902521613832853,0,0.42196354176062345,"Направляет 425,500 KZT 15 получателям; 21 исходящих операций."
100000000190228100,peripheral,0.49,2,0.5231049636050484,"Входящих: 1, исходящих: 1; выраженные признаки основной структурной роли не достигли порога."
100000000201868100,transit,1.0,54,0.42756393001345894,"Вход 190,000 KZT, выход 190,000 KZT; совпадение потока за 1–2 дня: 100%."
100000000254336100,peripheral,1.0,0,0.46826769970760096,"Входящих: 2, исходящих: 1; выраженные признаки основной структурной роли не достигли порога."
100000000267734100,distributor,0.813256484149856,10,0.3912156088955504,"Направляет 282,000 KZT 7 получателям; 8 исходящих операций."
100000000274067100,peripheral,1.0,10,0.3752408280841662,"Входящих: 2, исходящих: 3; выраженные признаки основной структурной роли не достигли порога."
100000000287768100,terminal,0.6179996114492942,0,0.16991475998205474,"Получил 35,168 KZT от 1 контрагентов; исходящих в выборке нет 4 дн."
100000000288317100,peripheral,0.49,0,0.4101513980091467,"Входящих: 2, исходящих: 3; выраженные признаки основной структурной роли не достигли порога."
100000000291906100,transit,0.6010696407183,50,0.47339121791808564,"Вход 388,000 KZT, выход 455,854 KZT; совпадение потока за 1–2 дня: 2%."
100000000291908100,peripheral,0.49,50,0.4062296964209079,"Входящих: 1, исходящих: 1; выраженные признаки основной структурной роли не достигли порога."
