rank,gid,role,priority_score,why
1,100000003115284100,consolidator,0.8755890832127717,"Получает от 8 контрагентов; входящий оборот 2,160,500 KZT; достижим от 9 seed. Приоритет 0.88; главные вклады: связь с seed +0.30, связность +0.24, оборот и операции +0.19."
2,100000008165763100,consolidator,0.8536697227670469,"Получает от 15 контрагентов; входящий оборот 1,165,815 KZT; достижим от 6 seed. Приоритет 0.85; главные вклады: связь с seed +0.29, связность +0.24, оборот и операции +0.20."
3,100000008346837100,consolidator,0.8468427800534457,"Получает от 9 контрагентов; входящий оборот 254,359 KZT; достижим от 6 seed. Приоритет 0.85; главные вклады: связь с seed +0.29, связность +0.25, оборот и операции +0.19."
4,100000008603629100,distributor,0.8413949141055348,"Направляет 4,986,156 KZT 61 получателям; 74 исходящих операций. Приоритет 0.84; главные вклады: связность +0.26, связь с seed +0.25, оборот и операции +0.20."
5,100000003684369100,consolidator,0.8362306254060792,"Получает от 24 контрагентов; входящий оборот 3,848,436 KZT; достижим от 6 seed. Приоритет 0.84; главные вклады: связь с seed +0.29, связность +0.25, оборот и операции +0.20."
6,100000005074393100,consolidator,0.8071131009452531,"Получает от 4 контрагентов; входящий оборот 563,026 KZT; достижим от 6 seed. Приоритет 0.81; главные вклады: связь с seed +0.29, связность +0.22, оборот и операции +0.19."
7,100000002398779100,consolidator,0.8061014142776464,"Получает от 13 контрагентов; входящий оборот 1,095,690 KZT; достижим от 5 seed. Приоритет 0.81; главные вклады: связь с seed +0.28, оборот и операции +0.19, связность +0.13."
8,100000003635170100,consolidator,0.8048037815448176,"Получает от 3 контрагентов; входящий оборот 268,500 KZT; достижим от 5 seed. Приоритет 0.80; главные вклады: связь с seed +0.28, связность +0.21, оборот и операции +0.18."
9,100000004015047100,consolidator,0.8044430997301875,"Получает от 9 контрагентов; входящий оборот 919,104 KZT; достижим от 8 seed. Приоритет 0.80; главные вклады: связь с seed +0.30, оборот и операции +0.19, связность +0.18."
10,100000000331309100,distributor,0.8042006898585037,"Направляет 23,001,375 KZT 99 получателям; 126 исходящих операций. Приоритет 0.80; главные вклады: связь с seed +0.25, связность +0.25, оборот и операции +0.20."
11,100000006889963100,consolidator,0.8037732261209984,"Получает от 4 контрагентов; входящий оборот 1,431,000 KZT; достижим от 9 seed. Приоритет 0.80; главные вклады: связь с seed +0.30, оборот и операции +0.19, связность +0.17."
12,100000003071930100,consolidator,0.8032898606631999,"Получает от 3 контрагентов; входящий оборот 477,610 KZT; достижим от 5 seed. Приоритет 0.80; главные вклады: связь с seed +0.28, оборот и операции +0.17, связность +0.15."
13,100000007908818100,consolidator,0.8030773142726988,"Получает от 4 контрагентов; входящий оборот 727,475 KZT; достижим от 8 seed. Приоритет 0.80; главные вклады: связь с seed +0.30, связность +0.21, оборот и операции +0.19."
14,100000000437046100,distributor,0.8016812899703171,"Направляет 7,606,224 KZT 42 получателям; 73 исходящих операций. Приоритет 0.80; главные вклады: связь с seed +0.25, связность +0.24, оборот и операции +0.20."
15,100000004156082100,distributor,0.7977049641008002,"Направляет 2,319,556 KZT 26 получателям; 29 исходящих операций. Приоритет 0.80; главные вклады: связь с seed +0.25, связность +0.24, оборот и операции +0.20."
16,100000001616816100,consolidator,0.7972168200592159,"Получает от 5 контрагентов; входящий оборот 176,195 KZT; достижим от 7 seed. Приоритет 0.80; главные вклады: связь с seed +0.29, связность +0.23, оборот и операции +0.18."
17,100000002941114100,peripheral,0.793449604853248,"Входящих: 2, исходящих: 1; выраженные признаки основной структурной роли не достигли порога. Приоритет 0.79; главные вклады: связь с seed +0.28, оборот и операции +0.16, связность +0.15."
18,100000002957787100,distributor,0.7929749965328636,"Направляет 1,276,154 KZT 34 получателям; 41 исходящих операций. Приоритет 0.79; главные вклады: связь с seed +0.25, связность +0.24, оборот и операции +0.19."
19,100000005910114100,distributor,0.7929649836724719,"Направляет 1,469,993 KZT 19 получателям; 56 исходящих операций. Приоритет 0.79; главные вклады: связь с seed +0.25, связность +0.23, оборот и операции +0.20."
20,100000008730846100,consolidator,0.7886268005055997,"Получает от 7 контрагентов; входящий оборот 155,042 KZT; достижим от 4 seed. Приоритет 0.79; главные вклады: связь с seed +0.25, связность +0.21, оборот и операции +0.18."
21,100000000343175100,distributor,0.7854047917485792,"Направляет 4,000,039 KZT 31 получателям; 33 исходящих операций. Приоритет 0.79; главные вклады: связь с seed +0.25, связность +0.23, оборот и операции +0.20."
22,100000008710791100,distributor,0.7807687912427473,"Направляет 5,521,511 KZT 23 получателям; 25 исходящих операций. Приоритет 0.78; главные вклады: связь с seed +0.28, связность +0.20, оборот и операции +0.20."
23,100000008743913100,distributor,0.7794105287683831,"Направляет 1,850,600 KZT 13 получателям; 13 исходящих операций. Приоритет 0.78; главные вклады: связь с seed +0.29, связность +0.19, оборот и операции +0.19."
24,100000001530983100,consolidator,0.7723866132265225,"Получает от 4 контрагентов; входящий оборот 564,158 KZT; достижим от 5 seed. Приоритет 0.77; главные вклады: связь с seed +0.28, оборот и операции +0.19, связность +0.19."
25,100000007442518100,consolidator,0.7704693288515096,"Получает от 5 контрагентов; входящий оборот 510,000 KZT; достижим от 4 seed. Приоритет 0.77; главные вклады: связь с seed +0.25, связность +0.21, оборот и операции +0.20."
26,100000008512827100,distributor,0.768686551882709,"Направляет 1,944,500 KZT 10 получателям; 10 исходящих операций. Приоритет 0.77; главные вклады: связь с seed +0.28, связность +0.19, оборот и операции +0.19."
27,100000003701161100,consolidator,0.7684592745749372,"Получает от 4 контрагентов; входящий оборот 1,527,103 KZT; достижим от 3 seed. Приоритет 0.77; главные вклады: связность +0.22, оборот и операции +0.19, связь с seed +0.18."
28,100000008733194100,consolidator,0.7657816339090736,"Получает от 4 контрагентов; входящий оборот 251,424 KZT; достижим от 4 seed. Приоритет 0.77; главные вклады: связь с seed +0.25, связность +0.21, оборот и операции +0.18."
